n,rotations
10,120
20,508
30,1189
40,2212
50,3393
60,4996
70,6789
80,8851
90,11265
100,14036
110,16792
120,20248
130,23822
140,27597
150,31617
160,36206
170,40949
180,45648
190,51333
200,56347
